time,count,nameOfItem,classOfItem,stateOfItem,priceOfItem
2022-08-30 18:26:42,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
2022-08-30 18:26:48,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:26:54,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:32:42,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
2022-08-30 18:32:48,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:32:54,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:34:06,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
2022-08-30 18:34:12,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:34:18,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:34:53,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
2022-08-30 18:34:59,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:35:06,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:35:49,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
2022-08-30 18:35:55,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:36:01,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:36:17,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
2022-08-30 18:36:23,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:36:30,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:36:50,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
2022-08-30 18:36:56,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:37:02,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:39:59,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
2022-08-30 18:40:06,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:40:15,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:41:33,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
2022-08-30 18:41:40,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:42:04,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
2022-08-30 18:42:11,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:42:18,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:44:30,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
2022-08-30 18:44:37,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:44:44,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:46:47,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
2022-08-30 18:46:56,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:47:03,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:50:30,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
2022-08-30 18:50:37,2,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:50:43,3,"MacBook Air 13"" 2020 M1 256 GB",B,Není skladem,19 990 Kč
2022-08-30 18:51:25,1,"MacBook Air 13"" 2020 M1 256 GB",B,Prodej pouze na 1 prodejně,19 990 Kč
